Time_s,Output,Input
0,0.117243089294026,1
0.05,0.0967840177167577,1
0.1,0.164178849227226,1
0.15,0.20593752108193,1
0.2,0.256164123085765,1
0.25,0.35151773205624,1
0.3,0.43806949047493,1
0.35,0.544784934580075,1
0.4,0.62367490776898,1
0.45,0.687275315646083,1
0.5,0.736398849179327,1
0.55,0.782650651094946,1
0.6,0.835153919066344,1
0.65,0.882523125674168,1
0.7,0.914694884867564,1
0.75,0.920312731078437,1
0.8,0.90416127734875,1
0.85,0.879812315451136,1
0.9,0.860478175033617,1
0.95,0.849835877026862,1
1,0.839879378404994,1
1.05,0.82098841840094,1
1.1,0.791105350576895,1
1.15,0.759501745780996,1
1.2,0.739789573123458,1
1.25,0.73936162146791,1
1.3,0.754091567066046,1
1.35,0.772469586959405,1
1.4,0.785785246756262,1
1.45,0.79514905337743,1
1.5,0.809705718255525,1
1.55,0.837679921970222,1
1.6,0.878233372966785,1
1.65,0.921186503331533,1
1.7,0.954718469423131,1
1.75,0.974362202424325,1
1.8,0.985573257739977,1
1.85,0.997884156056107,1
1.9,1.01589249829371,1
1.95,1.03493771708773,1
2,1.04510122456915,1
2.05,1.03990516479709,1
2.1,1.02211094208326,1
2.15,1.00165727394865,1
2.2,0.98763946756844,1
2.25,0.981308847572061,1
2.3,0.976041504883928,1
2.35,0.964101180286954,1
2.4,0.944179456385772,1
2.45,0.923159943574508,1
2.5,0.910669125381038,1
2.55,0.911224463599523,1
2.6,0.920767869301717,1
2.65,0.930467490713587,1
2.7,0.93436641342431,1
2.75,0.934228390919,1
2.8,0.937491608215375,1
2.85,0.950265771165341,1
2.9,0.97153820678027,1
2.95,0.993587828743964,1
3,1.0081590364403,1
3.05,1.01299814285588,1
3.1,1.01315206626043,1
3.15,1.01604828697373,1
3.2,1.02474055831908,1
3.25,1.03518392266054,1
3.3,1.03980423095788,1
3.35,1.03415512536092,1
3.4,1.02085836756974,1
3.45,1.00747667857822,1
3.5,1.00025518371769,1
3.55,0.999179137310466,1
3.6,0.998547097979433,1
3.65,0.992424267244634,1
3.7,0.980155759473889,1
3.75,0.967171867182276,1
3.8,0.960472939020928,1
3.85,0.962777864767945,1
3.9,0.970392223259777,1
3.95,0.97655075110499,1
4,0.977246311888654,1
4.05,0.974485160657855,1
4.1,0.974233293177513,1
4.15,0.980947901971199,1
4.2,0.993489199436361,1
4.25,1.00592047594692,1
4.3,1.01242386990308,1
4.35,1.01203232420609,1
4.4,1.00912422684497,1
4.45,1.00935572681563,1
4.5,1.01463528697223,1
4.55,1.02148998322237,1
4.6,1.0241592265379,1
4.65,1.01965157207746,1
4.7,1.01036544662281,1
4.75,1.00206043196274,1
4.8,0.999011240660091,1
4.85,1.00056136189787,1
4.9,1.00199999593987,1
4.95,0.998904393996273,1
5,0.991126420935468,1
